<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.08.16	16:00:00	29118.00	29137.00	28979.00	29043.00	900	0	2100
2023.08.16	17:00:00	29043.00	29119.00	29008.00	29110.00	672	0	2100
2023.08.16	18:00:00	29110.00	29139.00	29058.00	29063.00	440	0	2100
2023.08.16	19:00:00	29065.00	29066.00	28911.00	29038.00	1652	0	2100
2023.08.16	20:00:00	29038.00	29125.00	29008.00	29109.00	778	0	2100
2023.08.16	21:00:00	29119.00	29194.00	29067.00	29127.00	874	0	2100
2023.08.16	22:00:00	29127.00	29128.00	29064.00	29071.00	414	0	2100
2023.08.16	23:00:00	29071.00	29095.00	28808.00	28920.00	1691	0	2100
2023.08.17	00:00:00	28906.00	28920.00	28827.00	28899.00	865	0	2700
2023.08.17	01:00:00	28899.00	28946.00	28867.00	28867.00	398	0	2700
2023.08.17	02:00:00	28867.00	28867.00	28678.00	28686.00	1028	0	2700
2023.08.17	03:00:00	28686.00	28741.00	28294.00	28540.00	2066	0	2700
2023.08.17	04:00:00	28540.00	28593.00	28504.00	28592.00	940	0	2600
2023.08.17	05:00:00	28592.00	28605.00	28532.00	28544.00	448	0	2700
2023.08.17	06:00:00	28544.00	28655.00	28537.00	28613.00	431	0	2700
2023.08.17	07:00:00	28613.00	28662.00	28568.00	28608.00	416	0	2700
2023.08.17	08:00:00	28608.00	28637.00	28593.00	28637.00	268	0	2600
2023.08.17	09:00:00	28637.00	28651.00	28607.00	28635.00	311	0	2600
2023.08.17	10:00:00	28635.00	28635.00	28545.00	28566.00	388	0	2700
2023.08.17	11:00:00	28566.00	28582.00	28505.00	28505.00	472	0	2700
2023.08.17	12:00:00	28505.00	28569.00	28469.00	28547.00	462	0	2600
2023.08.17	13:00:00	28547.00	28560.00	28445.00	28487.00	474	0	2700
2023.08.17	14:00:00	28487.00	28517.00	28434.00	28491.00	592	0	2700
2023.08.17	15:00:00	28491.00	28520.00	28383.00	28444.00	929	0	2700
2023.08.17	16:00:00	28444.00	28495.00	28326.00	28346.00	1346	0	2700
2023.08.17	17:00:00	28346.00	28402.00	28266.00	28334.00	1898	0	2700
2023.08.17	18:00:00	28334.00	28443.00	27832.00	27889.00	4210	0	2600
2023.08.17	19:00:00	27888.00	28035.00	27662.00	27884.00	4162	0	2600
2023.08.17	20:00:00	27884.00	27989.00	27882.00	27926.00	1017	0	2600
2023.08.17	21:00:00	27926.00	27975.00	27817.00	27831.00	912	0	2600
2023.08.17	22:00:00	27831.00	27928.00	27810.00	27843.00	712	0	2600
2023.08.17	23:00:00	27843.00	27869.00	27481.00	27577.00	1797	0	2300
2023.08.18	00:00:00	27660.00	27686.00	25588.50	26185.50	2166	0	2600
2023.08.18	01:00:00	26206.00	26886.00	25811.00	26776.00	5685	0	3600
2023.08.18	02:00:00	26775.00	26978.00	26443.00	26603.00	4868	0	4300
2023.08.18	03:00:00	26603.00	26809.00	26574.00	26719.00	2442	0	4300
2023.08.18	04:00:00	26719.00	26740.00	26542.00	26591.00	1378	0	4300
2023.08.18	05:00:00	26591.00	26660.00	26444.00	26460.00	1161	0	4300
2023.08.18	06:00:00	26460.00	26492.00	26297.00	26376.00	1601	0	4300
2023.08.18	07:00:00	26376.00	26413.00	26140.00	26240.00	2063	0	3700
