<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.15	19:00:00	2054.06	2056.39	2053.62	2055.41	2441	0	5
2024.01.15	20:00:00	2055.41	2055.47	2054.41	2054.48	537	0	5
2024.01.15	21:00:00	2054.48	2054.84	2053.62	2054.57	404	0	5
2024.01.16	01:00:00	2055.19	2055.55	2053.31	2053.99	2470	0	5
2024.01.16	02:00:00	2054.11	2054.51	2050.77	2051.35	4395	0	5
2024.01.16	03:00:00	2051.35	2053.38	2049.95	2050.84	7507	0	5
2024.01.16	04:00:00	2050.84	2051.44	2049.77	2050.56	4750	0	5
2024.01.16	05:00:00	2050.56	2051.62	2048.38	2049.48	4208	0	5
2024.01.16	06:00:00	2049.48	2050.07	2048.99	2049.42	2584	0	5
2024.01.16	07:00:00	2049.42	2049.53	2047.56	2048.59	4289	0	5
2024.01.16	08:00:00	2048.58	2050.58	2047.42	2050.52	3963	0	5
2024.01.16	09:00:00	2050.52	2050.88	2048.14	2049.44	6022	0	5
2024.01.16	10:00:00	2049.44	2050.14	2042.18	2043.16	12443	0	5
2024.01.16	11:00:00	2043.16	2043.96	2038.69	2041.23	10964	0	5
2024.01.16	12:00:00	2041.22	2042.45	2039.28	2041.05	7658	0	5
2024.01.16	13:00:00	2041.05	2041.20	2038.29	2039.88	6610	0	5
2024.01.16	14:00:00	2039.88	2040.04	2035.65	2038.54	7677	0	5
2024.01.16	15:00:00	2038.54	2045.06	2031.36	2037.65	20327	0	5
2024.01.16	16:00:00	2037.60	2042.75	2036.90	2038.22	17790	0	5
2024.01.16	17:00:00	2038.22	2042.07	2037.36	2041.15	16193	0	5
2024.01.16	18:00:00	2041.15	2041.34	2032.50	2033.50	27355	0	5
2024.01.16	19:00:00	2033.50	2033.89	2024.96	2025.33	13832	0	5
2024.01.16	20:00:00	2025.33	2028.94	2024.27	2025.16	8759	0	5
2024.01.16	21:00:00	2025.16	2030.18	2024.98	2029.30	5553	0	5
2024.01.16	22:00:00	2029.35	2029.81	2027.88	2028.35	3770	0	5
2024.01.16	23:00:00	2028.35	2028.58	2027.19	2028.27	1525	0	5
2024.01.17	01:00:00	2028.05	2028.27	2025.88	2028.08	2533	0	10
2024.01.17	02:00:00	2028.10	2028.86	2025.68	2028.53	3791	0	5
2024.01.17	03:00:00	2028.53	2030.74	2026.66	2030.29	6707	0	5
2024.01.17	04:00:00	2030.29	2032.98	2027.09	2028.95	6163	0	5
2024.01.17	05:00:00	2028.95	2029.18	2023.43	2024.07	4685	0	5
2024.01.17	06:00:00	2024.03	2025.82	2023.37	2025.44	3258	0	5
2024.01.17	07:00:00	2025.45	2025.45	2019.35	2020.70	6810	0	5
2024.01.17	08:00:00	2020.73	2020.84	2017.68	2019.19	6866	0	5
2024.01.17	09:00:00	2019.20	2026.21	2017.87	2025.78	9547	0	5
2024.01.17	10:00:00	2025.75	2026.56	2021.31	2021.46	7772	0	5
2024.01.17	11:00:00	2021.46	2024.30	2019.03	2023.83	6582	0	5
2024.01.17	12:00:00	2023.83	2028.35	2022.78	2026.12	7254	0	5
2024.01.17	13:00:00	2026.16	2026.76	2023.71	2023.91	5058	0	5
2024.01.17	14:00:00	2023.91	2029.06	2023.73	2028.39	7323	0	5
2024.01.17	15:00:00	2028.41	2028.71	2018.86	2022.44	18992	0	5
2024.01.17	16:00:00	2022.41	2023.19	2011.36	2012.16	19055	0	5
2024.01.17	17:00:00	2012.16	2014.11	2006.13	2008.89	20811	0	5
2024.01.17	18:00:00	2008.89	2011.95	2004.24	2005.50	12887	0	5
2024.01.17	19:00:00	2005.47	2008.08	2003.44	2007.10	8606	0	5
2024.01.17	20:00:00	2007.10	2007.24	2001.83	2004.73	8462	0	5
2024.01.17	21:00:00	2004.73	2006.90	2004.41	2005.52	5394	0	5
2024.01.17	22:00:00	2005.57	2006.88	2004.77	2006.14	4840	0	5
2024.01.17	23:00:00	2006.14	2006.39	2005.34	2006.19	1730	0	5
2024.01.18	01:00:00	2006.31	2009.79	2006.23	2009.47	2591	0	5
2024.01.18	02:00:00	2009.47	2010.92	2008.24	2010.84	3445	0	9
2024.01.18	03:00:00	2010.84	2012.04	2009.32	2011.56	6706	0	5
2024.01.18	04:00:00	2011.54	2011.88	2007.47	2007.61	4322	0	5
2024.01.18	05:00:00	2007.61	2009.16	2006.47	2008.07	4060	0	5
2024.01.18	06:00:00	2008.05	2009.23	2007.89	2008.06	1836	0	5
2024.01.18	07:00:00	2008.06	2009.45	2005.76	2009.25	3909	0	5
2024.01.18	08:00:00	2009.29	2013.05	2008.89	2012.70	5564	0	5
2024.01.18	09:00:00	2012.70	2014.12	2011.05	2012.39	4999	0	5
2024.01.18	10:00:00	2012.39	2012.41	2009.63	2009.78	6677	0	5
2024.01.18	11:00:00	2009.78	2012.96	2008.17	2010.17	6586	0	5
2024.01.18	12:00:00	2010.17	2012.21	2009.20	2011.64	4457	0	5
2024.01.18	13:00:00	2011.64	2013.52	2010.83	2012.60	4634	0	5
2024.01.18	14:00:00	2012.61	2017.31	2012.61	2014.97	7171	0	5
2024.01.18	15:00:00	2014.97	2015.00	2006.91	2009.06	14444	0	5
2024.01.18	16:00:00	2009.06	2013.69	2009.05	2012.87	16895	0	5
2024.01.18	17:00:00	2012.87	2015.68	2011.64	2013.66	13945	0	5
2024.01.18	18:00:00	2013.66	2017.77	2013.10	2014.89	10114	0	5
2024.01.18	19:00:00	2014.90	2016.40	2013.23	2016.36	7324	0	5
2024.01.18	20:00:00	2016.36	2021.14	2015.58	2020.59	7202	0	5
2024.01.18	21:00:00	2020.59	2020.66	2018.36	2019.77	4445	0	5
2024.01.18	22:00:00	2019.81	2022.68	2019.77	2022.25	3761	0	5
2024.01.18	23:00:00	2022.25	2023.35	2021.89	2023.06	1515	0	5
2024.01.19	01:00:00	2023.82	2024.41	2021.12	2023.77	3158	0	5
2024.01.19	02:00:00	2023.77	2024.24	2022.62	2023.10	3442	0	5
2024.01.19	03:00:00	2023.10	2025.54	2022.04	2023.99	5949	0	5
2024.01.19	04:00:00	2023.94	2025.02	2022.57	2024.01	4667	0	5
2024.01.19	05:00:00	2024.01	2024.23	2021.92	2022.84	2612	0	5
2024.01.19	06:00:00	2022.78	2022.89	2020.62	2021.03	1846	0	5
2024.01.19	07:00:00	2021.03	2021.89	2020.36	2021.57	2870	0	5
2024.01.19	08:00:00	2021.55	2024.24	2020.83	2023.83	3966	0	5
2024.01.19	09:00:00	2023.82	2029.62	2023.64	2027.98	7201	0	5
2024.01.19	10:00:00	2027.98	2030.11	2026.19	2029.69	5660	0	5
2024.01.19	11:00:00	2029.71	2030.91	2027.64	2029.81	4641	0	5
2024.01.19	12:00:00	2029.85	2030.93	2028.92	2030.36	3363	0	5
2024.01.19	13:00:00	2030.36	2031.99	2028.78	2031.64	3679	0	5
2024.01.19	14:00:00	2031.64	2035.16	2031.62	2032.87	5212	0	5
2024.01.19	15:00:00	2032.87	2039.36	2032.64	2035.33	12340	0	5
2024.01.19	16:00:00	2035.33	2035.80	2026.36	2029.49	13121	0	5
2024.01.19	17:00:00	2029.40	2032.18	2023.08	2027.69	19613	0	5
2024.01.19	18:00:00	2027.69	2029.54	2023.31	2024.86	11001	0	5
2024.01.19	19:00:00	2024.87	2029.14	2024.44	2029.09	7912	0	5
2024.01.19	20:00:00	2029.09	2029.44	2026.46	2027.91	5367	0	5
2024.01.19	21:00:00	2027.91	2029.45	2027.58	2029.19	3138	0	5
2024.01.19	22:00:00	2029.19	2029.57	2027.77	2028.40	2753	0	5
2024.01.19	23:00:00	2028.34	2030.01	2028.14	2029.35	1585	0	5
2024.01.22	01:00:00	2028.85	2029.08	2026.93	2027.59	2570	0	5
2024.01.22	02:00:00	2027.55	2029.30	2025.47	2029.08	3858	0	5
2024.01.22	03:00:00	2029.08	2032.14	2028.75	2029.11	6741	0	5
2024.01.22	04:00:00	2029.11	2030.04	2028.37	2029.80	3598	0	5
2024.01.22	05:00:00	2029.80	2029.82	2026.00	2026.97	3315	0	5
2024.01.22	06:00:00	2026.97	2027.13	2024.66	2025.46	3082	0	5
2024.01.22	07:00:00	2025.38	2025.52	2021.80	2023.18	5562	0	5
2024.01.22	08:00:00	2023.17	2024.39	2020.06	2020.90	7065	0	5
2024.01.22	09:00:00	2020.90	2024.24	2019.13	2021.85	7449	0	5
2024.01.22	10:00:00	2021.76	2026.32	2020.41	2022.22	7034	0	5
2024.01.22	11:00:00	2022.21	2023.98	2020.59	2021.71	4679	0	5
2024.01.22	12:00:00	2021.71	2024.58	2021.08	2022.90	4185	0	5
2024.01.22	13:00:00	2022.85	2026.57	2022.26	2026.18	5072	0	5
2024.01.22	14:00:00	2026.16	2030.16	2025.22	2029.76	6681	0	5
2024.01.22	15:00:00	2029.76	2029.76	2021.26	2023.18	12836	0	5
2024.01.22	16:00:00	2023.18	2024.09	2016.42	2022.65	14410	0	5
2024.01.22	17:00:00	2022.65	2026.55	2020.71	2024.11	12832	0	5
2024.01.22	18:00:00	2024.11	2024.25	2021.44	2023.68	7629	0	5
2024.01.22	19:00:00	2023.68	2024.60	2021.33	2021.52	5351	0	5
2024.01.22	20:00:00	2021.52	2021.89	2019.74	2021.31	4611	0	5
2024.01.22	21:00:00	2021.31	2021.59	2019.09	2021.00	3475	0	5
2024.01.22	22:00:00	2021.00	2021.02	2019.17	2020.85	3275	0	5
2024.01.22	23:00:00	2020.83	2021.76	2020.19	2021.68	1449	0	7
2024.01.23	01:00:00	2021.19	2021.82	2020.38	2020.65	1516	0	5
2024.01.23	02:00:00	2020.65	2023.17	2020.65	2022.87	2454	0	5
2024.01.23	03:00:00	2022.87	2022.98	2019.58	2021.75	5605	0	5
2024.01.23	04:00:00	2021.75	2024.14	2020.78	2022.58	4991	0	5
2024.01.23	05:00:00	2022.58	2027.96	2021.65	2027.50	6398	0	5
2024.01.23	06:00:00	2027.39	2027.90	2026.67	2027.64	3364	0	5
